Afrikaans - South Africa;436;1078;;Maandag;Dinsdag;Woensdag;Donderdag;Vrydag;Saterdag;Sondag;;Januarie;Februarie;Maart;April;Mei;Junie;Julie;Augustus;September;Oktober;November;Desember
Swahili;441;1089;;Jumatatu;Jumanne;Jumatano;Alhamisi;Ijumaa;Jumamosi;Jumapili;;Januari;Februari;Machi;Aprili;Mei;Juni;Julai;Agosti;Septemba;Oktoba;Novemba;Desemba
Swedish;041d;1053;;måndag;tisdag;onsdag;torsdag;fredag;lördag;söndag;;januari;februari;mars;april;maj;juni;juli;augusti;september;oktober;november;december
Swedish - Finland;081d;2077;;måndag;tisdag;onsdag;torsdag;fredag;lördag;söndag;;januari;februari;mars;april;maj;juni;juli;augusti;september;oktober;november;december
Tamazight (Latin);085f;2143;;letnayen;ttlata;larebâa;lexmis;ldjemâa;ssebt;lh'ed;;Yennayer;Furar;Meghres;Yebrir;Magu;Yunyu;Yulyu;Ghuct;Cutenber;Tuber;Nunember;Dujanbir
Tsonga;431;1073;;Musumbhunuku;Ravumbirhi;Ravunharhu;Ravumune;Ravuntlhanu;Mugqivela;Sonta;;Sunguti;Nyenyenyani;Nyenyankulu;Dzivamisoko;Mudyaxihi;Khotavuxika;Mawuwani;Mhawuri;Ndzhati;Nhlangula;Hukuri;N’wendzamhala
Tswana;432;1074;;Mosopulogo;Labobedi;Laboraro;Labone;Labotlhano;Matlhatso;Sontaga;;Ferikgong;Tlhakole;Mopitlwe;Moranang;Motsheganang;Seetebosigo;Phukwi;Phatwe;Lwetse;Diphalane;Ngwanatsele;Sedimonthole
Turkish;041f;1055;;Pazartesi;Sal;Çaramba;Perembe;Cuma;Cumartesi;Pazar;;Ocak;ubat;Mart;Nisan;Mays;Haziran;Temmuz;Austos;Eylül;Ekim;Kasm;Aralk
Turkmen;442;1090;;Duenbe;Sienbe;Çarenbe;Penenbe;Anna;enbe;Ýekenbe;;Ýanwar;Fewral;Mart;Aprel;Maý;lýun;lýul;Awgust;Sentýabr;Oktýabr;Noýabr;Dekabr
Uzbek (Latin);443;1091;;dushanba;seshanba;chorshanba;payshanba;juma;shanba;yakshanba;;Yanvar;Fevral;Mart;Aprel;May;Iyun;Iyul;Avgust;Sentabr;Oktabr;Noyabr;Dekabr
Welsh;452;1106;;Dydd Llun;Dydd Mawrth;Dydd Mercher;Dydd Iau;Dydd Gwener;Dydd Sadwrn;Dydd Sul;;Ionawr;Chwefror;Mawrth;Ebrill;Mai;Mehefin;Gorffennaf;Awst;Medi;Hydref;Tachwedd;Rhagfyr
Wolof;488;1160;;Altine;Talaata;Àllarba;Alxames;Àjjuma;Gaawu;Dibéer;;Samwiye;Fewriye;Maars;Awril;Me;Suwe;Sullet;Ut;Septàmbar;Oktoobar;Noowàmbar;Desàmbar
Xhosa;434;1076;;Mvulo;Lwesibini;Lwesithathu;Lwesine;Lwesihlanu;Mgqibelo;Cawe;;uJanuwari;uFebuwari;uMatshi;uAprili;uMeyi;uJuni;uJulayi;uAgasti;uSeptemba;uOktobha;uNovemba;uDisemba
Zulu;435;1077;;UMsombuluko;ULwesibili;ULwesithathu;ULwesine;ULwesihlanu;UMgqibelo;ISonto;;Januwari;Febhuwari;Mashi;Ephreli;Meyi;Juni;Julayi;Agasti;Septemba;Okthoba;Novemba;Disemba
